,Unnamed: 0,name,score,beer style,abv,cal,city,country,link,lat,lon
46,46,Castelberg,2.29,Pale Lager,4.6,138.0,Vlorë,Albania,/beer/castelberg/240238/,40.4695908,19.4837727
47,47,Ereniku Pilsner Beer,2.22,Pale Lager,4.0,120.0,Tirana,Albania,/beer/ereniku-pilsner-beer/134118/,41.32794570000001,19.8185323
48,48,Birra Elbar,2.21,Pale Lager,4.1,123.0,Gjirokaster,Albania,/beer/birra-elbar/356484/,40.07708710000001,20.1393359
49,49,Stefani & Co,2.19,Pilsener,4.7,141.0,Tirana,Albania,/beer/stela-selekt/189684/,41.32794570000001,19.8185323
50,50,Korça Bjonde,2.14,Pilsener,4.5,135.0,Korça,Albania,/beer/korca-bjonde/73708/,40.615891299999994,20.777201899999998
51,51,Birra Tirana Kuqalashe,2.13,Pale Lager,4.1,123.0,Tirana,Albania,/beer/birra-tirana-kuqalashe/138156/,41.32794570000001,19.8185323
52,52,Norga The Best Beer,2.07,Pale Lager,4.5,135.0,Vlorë,Albania,/beer/norga-the-best-beer/135903/,40.4695908,19.4837727
53,53,Norga Premium Läger,2.06,Pale Lager,4.6,138.0,Vlorë,Albania,/beer/norga-premium-lager/68725/,40.4695908,19.4837727
54,54,Birra Tirana,1.99,Pale Lager,4.0,120.0,Tirana,Albania,/beer/birra-tirana/5423/,41.32794570000001,19.8185323
55,55,Stela Pils,1.93,Pale Lager,5.0,150.0,Tirana,Albania,/beer/stela-pils/220722/,41.32794570000001,19.8185323
56,56,Stela Pils 4%,1.92,Pilsener,4.0,120.0,Tirana,Albania,/beer/stela-pils-4/287791/,41.32794570000001,19.8185323
57,57,Korça 01 Lager Beer,1.88,Pale Lager,4.1,123.0,Korça,Albania,/beer/korca-01-lager-beer/153090/,40.615891299999994,20.777201899999998
58,58,Stela,1.84,Pale Lager,4.5,135.0,Tirana,Albania,/beer/stela/15329/,41.32794570000001,19.8185323
59,59,Super Star,2.72,Pilsener,5.0,150.0,Tizi Ouzou,Algeria,/beer/super-star/447229/,36.7137843,4.0493919
60,60,Schems Bavaroise,2.63,Pale Lager,4.5,135.0,Oued Tlelat Oran,Algeria,/beer/schems-bavaroise/48016/,35.5519239,-0.4522604
61,61,Algad Golden Pils,2.59,Pilsener,4.5,135.0,Tessala El Merdja,Algeria,/beer/algad-golden-pils/54519/,36.630719299999996,2.9455174
62,62,Algad Lalla Princesse,2.59,Pale Lager,4.5,135.0,Tessala El Merdja,Algeria,/beer/algad-lalla-princesse/54521/,36.630719299999996,2.9455174
63,63,Beaufort (Algeria),2.59,Pale Lager,4.5,135.0,Oued Tlelat Oran,Algeria,/beer/beaufort-algeria/56956/,35.5519239,-0.4522604
64,64,Tango Samba,2.43,Pale Lager,4.2,126.0,Algiers,Algeria,/beer/tango-samba/57042/,28.000027199999998,2.9999825
65,65,Albraü Bière Blonde,2.31,Pale Lager,4.6,138.0,Wilaya de Béjaïa,Algeria,/beer/albrau-biere-blonde/430171/,36.751329299999995,5.0664358
66,66,Koelberg,2.31,Pale Lager,5.2,156.0,Wilaya de Béjaïa,Algeria,/beer/koelberg/430172/,36.751329299999995,5.0664358
67,67,Hofbräu Bavière Bavaroise Premium Pils,2.29,Pilsener,5.0,150.0,Oued Tlelat Oran,Algeria,/beer/hofbrau-baviere-bavaroise-premium-pils/56945/,35.5519239,-0.4522604
68,68,Algad Extreme Beer,2.11,Pale Lager,5.0,150.0,Tessala El Merdja,Algeria,/beer/algad-extreme-beer/54520/,36.630719299999996,2.9455174
69,69,Tango Bière Blonde,2.08,Pale Lager,4.8,144.0,Algiers,Algeria,/beer/tango-biere-blonde/56929/,28.000027199999998,2.9999825
70,70,S.A.R.L. Tango (Heineken),2.03,Pale Lager,5.2,156.0,Algiers,Algeria,/beer/tango-gold/56950/,28.000027199999998,2.9999825
71,71,Algad Power Beer,1.92,Pale Lager,5.2,156.0,Tessala El Merdja,Algeria,/beer/algad-power-beer/57309/,36.630719299999996,2.9455174
72,72,Mini BR,1.82,Pale Lager,4.5,135.0,Algiers,Algeria,/beer/mini-br/43344/,28.000027199999998,2.9999825
74,74,B.A.O. Kelch,1.72,Pale Lager,4.5,135.0,Oran,Algeria,/beer/bao-kelch/43345/,35.7032751,-0.6492975999999999
76,76,La Birreria Trapella,3.25,Porter,6.0,180.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella/372389/,42.506939100000004,1.5212466999999998
77,77,La Birreria Trapella Rock Star,3.21,India Pale Ale (IPA),6.0,180.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-rock-star/553034/,42.506939100000004,1.5212466999999998
78,78,La Birreria Trapella IPA,3.15,India Pale Ale (IPA),6.0,180.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-ipa/444176/,42.506939100000004,1.5212466999999998
79,79,La Birreria Trapella Red Nose,3.12,India Pale Ale (IPA),7.0,210.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-red-nose/551554/,42.506939100000004,1.5212466999999998
80,80,Alpha La Font Del Bisbe,2.94,American Pale Ale,5.6,168.0,La Cortinada Ordino,Andorra,/beer/alpha-la-font-del-bisbe/226075/,42.575567799999995,1.5193446000000002
81,81,Alpha Black Porter,2.94,Imperial Porter,8.0,240.0,La Cortinada Ordino,Andorra,/beer/alpha-black-porter/421176/,42.575567799999995,1.5193446000000002
82,82,Alpha Dama de Gel,2.93,Sour Red/Brown,7.5,225.0,La Cortinada Ordino,Andorra,/beer/alpha-dama-de-gel/347619/,42.575567799999995,1.5193446000000002
83,83,Alpha Sant Corneli,2.92,India Pale Ale (IPA),6.4,192.0,La Cortinada Ordino,Andorra,/beer/alpha-sant-corneli/222280/,42.575567799999995,1.5193446000000002
84,84,Alpha Els Amants del Roc,2.89,Porter,7.5,225.0,La Cortinada Ordino,Andorra,/beer/alpha-els-amants-del-roc/432481/,42.575567799999995,1.5193446000000002
85,85,Alpha  Fums,2.89,Smoked,7.5,225.0,La Cortinada Ordino,Andorra,/beer/alpha-fums/236915/,42.575567799999995,1.5193446000000002
87,87,Alpha El Testament Del Llop,2.83,Smoked,6.2,186.0,La Cortinada Ordino,Andorra,/beer/alpha-el-testament-del-llop/481027/,42.575567799999995,1.5193446000000002
88,88,Alpha Roure (Especial Lager),2.82,Imperial Pils/Strong Pale Lager,7.9,237.0,La Cortinada Ordino,Andorra,/beer/alpha-roure-especial-lager/179235/,42.575567799999995,1.5193446000000002
89,89,La Birreria Trapella Doggy Queen,2.76,Kölsch,5.0,150.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-doggy-queen/553019/,42.506939100000004,1.5212466999999998
90,90,Alpha Roure Pale Ale,2.71,English Pale Ale,4.6,138.0,La Cortinada Ordino,Andorra,/beer/alpha-roure-pale-ale/194852/,42.575567799999995,1.5193446000000002
91,91,Alpha Andorbock Fumat,2.71,Smoked,9.1,273.0,La Cortinada Ordino,Andorra,/beer/alpha-andorbock-fumat/196132/,42.575567799999995,1.5193446000000002
92,92,Cerveses Alpha La Dama Blanca,2.68,Golden Ale/Blond Ale,5.1,153.0,La Cortinada Ordino,Andorra,/beer/cerveses-alpha-la-dama-blanca/481032/,42.575567799999995,1.5193446000000002
94,94,La Birreria Trapella Scrum,2.67,Witbier,5.0,150.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-scrum/555633/,42.506939100000004,1.5212466999999998
95,95,Alpha Full Fusion,2.65,Spice/Herb/Vegetable,5.1,153.0,La Cortinada Ordino,Andorra,/beer/alpha-full-fusion/276147/,42.575567799999995,1.5193446000000002
96,96,Alpha La Farga,2.63,Bitter,4.8,144.0,La Cortinada Ordino,Andorra,/beer/alpha-la-farga/194851/,42.575567799999995,1.5193446000000002
97,97,Alpha Monjo Boig,2.56,German Hefeweizen,4.5,135.0,La Cortinada Ordino,Andorra,/beer/alpha-monjo-boig/168447/,42.575567799999995,1.5193446000000002
98,98,La Birreria Trapella Ginger Beard,2.55,Spice/Herb/Vegetable,6.5,195.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-ginger-beard/553044/,42.506939100000004,1.5212466999999998
99,99,Cerveses Alpha,2.5,Amber Ale,7.9,237.0,La Cortinada Ordino,Andorra,/beer/alpha-torrada/164176/,42.575567799999995,1.5193446000000002
100,100,Cerveses Alpha,2.45,Smoked,5.8,174.0,La Cortinada Ordino,Andorra,/beer/alpha-smoked-red-ale/177830/,42.575567799999995,1.5193446000000002
101,101,Alpha Crepuscle,2.43,Stout,7.5,225.0,La Cortinada Ordino,Andorra,/beer/alpha-crepuscle/177235/,42.575567799999995,1.5193446000000002
102,102,Alpha Eagle,2.3,Golden Ale/Blond Ale,5.1,153.0,La Cortinada Ordino,Andorra,/beer/alpha-eagle/222282/,42.575567799999995,1.5193446000000002
103,103,Alpha El Barranc Dels Dimonis,2.29,Spice/Herb/Vegetable,5.1,153.0,La Cortinada Ordino,Andorra,/beer/alpha-el-barranc-dels-dimonis/553040/,42.575567799999995,1.5193446000000002
104,104,Cerveses Alpha,2.26,Pilsener,5.1,153.0,La Cortinada Ordino,Andorra,/beer/alpha-tipus-pilsener/154459/,42.575567799999995,1.5193446000000002
105,105,N´gola Cerveja Superior,2.7,Pale Lager,5.0,150.0,Luanda,Angola,/beer/ngola-cerveja-superior/148374/,-8.8271656,13.243666500000002
106,106,Nocal Cerveja Internacional,2.14,Pale Lager,5.0,150.0,Luanda,Angola,/beer/nocal-cerveja-internacional/14078/,-8.8271656,13.243666500000002
107,107,Eka,1.94,Pilsener,5.0,150.0,Dondo Provincia do Kwanza Norte,Angola,/beer/eka/70816/,,
108,108,Nova Cuca,1.82,Pale Lager,4.5,135.0,Luanda,Angola,/beer/nova-cuca/59433/,-8.8271656,13.243666500000002
113,113,Antigua Brewery (Royal Unibrew),2.13,Pale Lager,5.0,150.0,St. Johns,Antigua & Barbuda,/beer/wadadli/7979/,17.118456899999998,-61.8448509
114,114,Antigua Brewery (Royal Unibrew),2.07,Premium Lager,5.6,168.0,St. Johns,Antigua & Barbuda,/beer/wadadli-gold/103599/,17.118456899999998,-61.8448509
115,115,Juguetes Perdidos Baltic Porter Cognac Barrel Aged,3.52,Baltic Porter,11.2,336.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-baltic-porter-cognac-barrel-aged/521949/,-34.6452384,-58.3930969
116,116,Araucana Rojiza Fuerte,3.45,Doppelbock,9.2,276.0,El Bolson,Argentina,/beer/araucana-rojiza-fuerte/82421/,-27.008276199999997,-66.74277140000001
117,117,Juguetes Perdidos Imperial Porter Barrel Aged with Dried Sour Cherries,3.42,Imperial Porter,10.0,300.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-imperial-porter-barrel-aged-with-dried-sour-cherries/522012/,-34.6452384,-58.3930969
118,118,Shopron,3.37,Porter,6.2,186.0,Capital Federal,Argentina,/beer/shopron-porter/55731/,-31.422712199999996,-64.19981010000001
119,119,Murray's IPA,3.36,India Pale Ale (IPA),7.5,225.0,Buenos Aires,Argentina,/beer/murrays-ipa/57964/,-34.6452384,-58.3930969
120,120,Juguetes Perdidos Imperial Saison Chardonay Barrel,3.36,Saison,11.7,351.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-imperial-saison-chardonay-barrel/522225/,-34.6452384,-58.3930969
121,121,La Loggia Imperial Stout,3.36,Imperial Stout,11.0,330.0,Olivos,Argentina,/beer/la-loggia-imperial-stout/70569/,-34.5110708,-58.4901197
122,122,Antares IPA,3.33,India Pale Ale (IPA),7.0,210.0,Mar del Plata - P. de Bs As,Argentina,/beer/antares-ipa/71783/,,
123,123,Rubia y Negra,3.32,Scotch Ale,6.0,180.0,Buenos Aires,Argentina,/beer/rubia-y-negra-scotch-ale/60179/,-34.6452384,-58.3930969
124,124,Antares Imperial Stout,3.31,Imperial Stout,8.5,255.0,Mar del Plata - P. de Bs As,Argentina,/beer/antares-imperial-stout/41129/,,
125,125,Los Bichos Mandan Patagonia Wild Berries Sour,3.31,Lambic Style - Fruit,5.55,167.0,Buenos Aires,Argentina,/beer/los-bichos-mandan-patagonia-wild-berries-sour/521926/,-34.6452384,-58.3930969
126,126,Beagle Fuegian Cream Stout,3.29,Sweet Stout,6.2,186.0,Ushuaia,Argentina,/beer/beagle-fuegian-cream-stout/219693/,-54.8069332,-68.30732459999999
127,127,Berlina Foreign Stout,3.28,Foreign Stout,6.0,180.0,San Carlos de Bariloche,Argentina,/beer/berlina-foreign-stout/57120/,-41.133467200000005,-71.3099936
128,128,Antares Cream Stout,3.27,Stout,7.0,210.0,Mar del Plata - P. de Bs As,Argentina,/beer/antares-cream-stout/41126/,,
129,129,Los Bichos Mandan Red Hot Chili Sour,3.25,Sour Red/Brown,5.6,168.0,Buenos Aires,Argentina,/beer/los-bichos-mandan-red-hot-chili-sour/521927/,-34.6452384,-58.3930969
130,130,Berlina Colonia Suiza,3.25,Golden Ale/Blond Ale,7.0,210.0,San Carlos de Bariloche,Argentina,/beer/berlina-colonia-suiza/345721/,-41.133467200000005,-71.3099936
131,131,Berlina Old Ale,3.24,Old Ale,7.5,225.0,San Carlos de Bariloche,Argentina,/beer/berlina-old-ale/310092/,-41.133467200000005,-71.3099936
132,132,Me Echó La Burra Negra,3.24,Dunkelweizen,8.0,240.0,San Carlos,Argentina,/beer/me-echo-la-burra-negra/313977/,-34.9291613,-57.999863100000006
133,133,Eisenbrucke Russian Imperial Stout,3.23,Imperial Stout,13.0,390.0,Gorbernador Mansilla,Argentina,/beer/eisenbrucke-russian-imperial-stout/174900/,,
134,134,Los Bichos Mandan Golden Sour Peaches,3.23,Lambic Style - Fruit,5.2,156.0,Buenos Aires,Argentina,/beer/los-bichos-mandan-golden-sour-peaches/521922/,-34.6452384,-58.3930969
135,135,Juguetes Perdidos Imperial Stout,3.22,Imperial Stout,12.2,366.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-imperial-stout/522500/,-34.6452384,-58.3930969
136,136,Itzel American Rye IPA,3.21,American Pale Ale,6.7,201.0,Buenos Aires,Argentina,/beer/itzel-american-rye-ipa/494884/,-34.6452384,-58.3930969
138,138,Berlina India Pale Ale,3.2,India Pale Ale (IPA),4.8,144.0,San Carlos de Bariloche,Argentina,/beer/berlina-india-pale-ale/57119/,-41.133467200000005,-71.3099936
139,139,Barba Roja Barrel Aged Red Ale,3.19,American Strong Ale,9.0,270.0,Escobar,Argentina,/beer/barba-roja-barrel-aged-red-ale/106046/,-42.7008035,-71.3962343
140,140,El Bolson Negra Extra,3.18,Dunkel/Tmavý,6.0,180.0,El Bolson,Argentina,/beer/el-bolson-negra-extra/7165/,-27.008276199999997,-66.74277140000001
141,141,Buller India Pale Ale,3.18,India Pale Ale (IPA),6.0,180.0,Buenos Aires,Argentina,/beer/buller-india-pale-ale/20737/,-34.6452384,-58.3930969
142,142,Rubia y Negra,3.17,Stout,5.0,150.0,Buenos Aires,Argentina,/beer/rubia-y-negra-stout/60180/,-34.6452384,-58.3930969
143,143,Juguetes Perdidos Strong Dark Belgian Cognac Barrel,3.16,Belgian Strong Ale,12.6,378.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-strong-dark-belgian-cognac-barrel/522240/,-34.6452384,-58.3930969
144,144,Buller Dry Stout,3.16,Dry Stout,5.8,174.0,Buenos Aires,Argentina,/beer/buller-dry-stout/21203/,-34.6452384,-58.3930969
145,145,Kraken Imperial Stout,3.16,Imperial Stout,10.0,300.0,Buenos Aires,Argentina,/beer/kraken-imperial-stout/138006/,-34.6452384,-58.3930969
146,146,Bersaglier Cream Stout,3.15,Stout,6.0,180.0,San Martín,Argentina,/beer/bersaglier-cream-stout/52616/,-46.850556899999994,-68.49024698187439
147,147,Cape Horn Oatmeal Stout,3.15,Stout,4.8,144.0,Usuhaia,Argentina,/beer/cape-horn-oatmeal-stout/85419/,-42.7835102,-65.0502411
